
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/manifest_material_children_no_body.csv
[OPENWORM-VALIDATOR] objects  = 303
[OPENWORM-VALIDATOR] global center model = (-0.006,0.254935,-0.00137174)
[OPENWORM-VALIDATOR] global span model   = (0.543019,7.50178,1.33581)
[OPENWORM-VALIDATOR] mm/model-unit = 0.1
[OPENWORM-VALIDATOR] world half size = 1.02715, 1.37509, 1.06679 mm
[OPENWORM-VALIDATOR][LOADED] 1 name=Phar_Gland_g1_R category=digestive_system raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 2 name=Phar_Gland_g2_VR category=digestive_system raw_tri=1984 kept_tri=1984 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 3 name=Phar_Gland_Dorsal_g2 category=digestive_system raw_tri=4160 kept_tri=4160 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 4 name=Arcade_Cell_Ant category=digestive_system raw_tri=15628 kept_tri=15628 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 5 name=Arcade_Cell_Post category=digestive_system raw_tri=13620 kept_tri=13620 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 6 name=e1VR category=digestive_system raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 7 name=e3VR category=digestive_system raw_tri=2736 kept_tri=2736 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 8 name=e2DR category=digestive_system raw_tri=4368 kept_tri=4368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 9 name=e2DL category=digestive_system raw_tri=4112 kept_tri=4112 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 10 name=e3D category=digestive_system raw_tri=3040 kept_tri=3040 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 11 name=e1D category=digestive_system raw_tri=3392 kept_tri=3392 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 12 name=e2V category=digestive_system raw_tri=4528 kept_tri=4528 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 13 name=pm1 category=digestive_system raw_tri=10048 kept_tri=10048 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 14 name=pm2VR category=digestive_system raw_tri=4800 kept_tri=4800 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 15 name=pm2VL category=digestive_system raw_tri=4608 kept_tri=4608 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 16 name=pm2D category=digestive_system raw_tri=4544 kept_tri=4544 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 17 name=mc3DR category=digestive_system raw_tri=6992 kept_tri=6992 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 18 name=mc2V category=digestive_system raw_tri=6368 kept_tri=6368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 19 name=mc2DR category=digestive_system raw_tri=6336 kept_tri=6336 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 20 name=mc1V category=digestive_system raw_tri=9024 kept_tri=9024 skipped_deg=0
